id,player,fpl_name,fpl_id,element_type,now_cost
642848,Jayden Danns,Jayden Danns,824,4,44
646053,Oliver Arblaster,Oliver Arblaster,823,3,45
639035,Rodrigo Ribeiro,Rodrigo Duarte Ribeiro,809,4,45
639023,Matz Sels,Matz Sels,808,1,45
638571,Adam Wharton,Adam Wharton,807,3,50
638585,Maxime Estève,Maxime Esteve,806,2,40
638573,Lorenz Assignon,Lorenz Assignon,805,2,40
640147,Enes Ünal,Enes Ünal,804,4,50
638756,Morgan Rogers,Morgan Rogers,803,3,50
639036,Giovanni Reyna,Giovanni Reyna,801,3,48
638076,Romain Faivre,Romain Faivre,799,3,50
645157,Daiki Hashioka,Daiki Hashioka,798,2,40
641834,Joe White,Joe White,794,3,45
638557,Daniel Muñoz,Daniel Muñoz,792,2,45
638048,Cesare Casadei,Cesare Casadei,791,3,45
637850,Ivo Grbic,Ivo Grbic,790,1,45
636305,Kaide Gordon,Kaide Gordon,783,3,45
635481,Radu Dragusin,Radu Dragusin,777,2,42
635479,Timo Werner,Timo Werner,776,4,63
636192,Ben Brereton Díaz,Ben Brereton,775,3,50
640667,Ethan Nwaneri,Ethan Nwaneri,772,3,45
632532,Willy Kambwala,Willy Kambwala,766,2,39
628765,Sydie Peck,Sydie Peck,759,3,44
636292,Conor Bradley,Conor Bradley,757,2,41
636517,Tawanda Chirewa,Tawanda Chirewa,750,3,44
627265,Benicio Baker-Boaitey,Benicio Baker-Boaitey,742,3,45
623496,Ben Parkinson,Ben Parkinson,739,4,45
624907,Amadou Diallo,Amadou Diallo,738,3,45
619927,Ryan Oné,Ryan Oné,730,3,44
618088,Andros Townsend,Andros Townsend,727,3,50
627567,Jamie Donley,Jamie Donley,722,4,45
618182,David Ozoh,David Ozoh,721,3,45
633079,Alfie Gilchrist,Alfie Gilchrist,716,2,40
610061,Jean-Ricner Bellegarde,Jean-Ricner Bellegarde,715,3,49
611593,Divock Origi,Divock Origi,714,4,50
611588,Ibrahim Sangare,Ibrahim Sangaré,713,3,49
612170,Nicolás Domínguez,Nicolás Domínguez,712,3,50
635957,Andrew Omobamidele,Andrew Omobamidele,711,2,45
622068,Odisseas Vlachodimos,Odysseas Vlachodimos,710,1,45
612542,Sofyan Amrabat,Sofyan Amrabat,709,3,50
610082,Ryan Gravenberch,Ryan Gravenberch,708,3,50
627943,Fode Toure,Fodé Ballo-Touré,707,2,45
611609,Mike Trésor,Mike Trésor,706,3,53
610970,Luis Sinisterra,Luis Sinisterra,705,3,55
638124,Nathan Fraser,Nathan Fraser,704,4,45
609674,Jonny Evans,Jonny Evans,703,2,40
612341,Saman Ghoddos,Saman Ghoddos,701,3,45
610459,Anssumane Fati,Anssumane Fati Vieira,700,3,64
632459,Clement Lenglet,Clément Lenglet,699,2,45
626118,Santiago Bueno,Santiago Bueno,697,2,45
615245,Murillo,Murillo Santiago Costa dos Santos,696,2,45
637951,Han-Noah Massengo,Han-Noah Massengo,694,3,49
608359,Beto,Norberto Bercique Gomes Betuncal,691,4,57
612714,Carlos Baleba,Carlos Baleba,690,3,45
608301,Mohammed Kudus,Mohammed Kudus,689,3,68
608733,Timothy Castagne,Timothy Castagne,688,2,45
629290,Djordje Petrovic,Đorđe Petrović,687,1,4
608764,Gonzalo Montiel,Gonzalo Montiel,679,2,44
608713,Jéremy Doku,Jérémy Doku,678,3,64
619569,Deivid Washington,Deivid Washington de Souza Eugênio,677,4,45
614733,Konstantinos Mavropanos,Konstantinos Mavropanos,676,2,45
607450,Aaron Ramsey,Aaron Ramsey,675,3,50
607441,Hannes Delcroix,Hannes Delcroix,674,2,40
607467,Nicolo Zaniolo,Nicolò Zaniolo,672,3,54
605129,Wataru Endo,Wataru Endo,668,3,54
633077,Romeo Lavia,Roméo Lavia,667,3,49
611548,Tom Davies,Tom Davies,666,3,50
605902,James Ward-Prowse,James Ward-Prowse,664,3,59
604797,Gustavo Hamer,Gustavo Hamer,663,3,49
605099,Adama Traoré,Adama Traoré,662,3,49
614582,Jack Harrison,Jack Harrison,661,3,55
614685,Wilson Odobert,Wilson Odobert,660,3,50
606381,Jesurun Rak-Sakyi,Jesurun Rak-Sakyi,657,3,45
603829,Andre Brooks,Andre Brooks,655,3,44
605767,Tyler Onyango,Tyler Onyango,650,3,44
606874,Youssef Chermiti,Youssef Ramalho Chermiti,645,4,48
618035,Alex Scott,Alex Scott,644,3,49
603727,Max Aarons,Max Aarons,643,2,44
605908,Edson Álvarez,Edson Álvarez Velázquez,642,3,50
644912,Dane Scarlett,Dane Scarlett,640,4,45
604202,Micky van de Ven,Micky van de Ven,639,2,44
603826,Vinicius Souza,Vini de Souza Costa,638,3,50
623489,Lewis Miley,Lewis Miley,635,3,45
624906,Alex Murphy,Alex Murphy,634,2,39
605579,Valentino Livramento,Tino Livramento,633,2,41
638138,Omari Forson,Omari Forson,632,3,44
603784,Jacob Brown,Jacob Brown,631,4,49
606604,Ross Barkley,Ross Barkley,630,3,50
623851,James McConnell,James McConnell,629,3,44
604434,Ben Doak,Ben Doak,628,3,43
636304,Bobby Clark,Bobby Clark,627,3,44
607710,Jarell Quansah,Jarell Quansah,626,2,40
603800,Lewis Dobbin,Lewis Dobbin,624,3,45
614307,Jack Hinshelwood,Jack Hinshelwood,621,3,45
609672,Rasmus Højlund,Rasmus Højlund,617,4,70
603631,Josko Gvardiol,Joško Gvardiol,616,2,48
618180,Matheus França,Matheus França de Oliveira,615,3,48
603772,Thomas Kaminski,Thomas Kaminski,614,1,45
604417,Chimuanya Ugochukwu,Lesley Ugochukwu,613,3,44
604407,Axel Disasi,Axel Disasi,611,2,49
605100,Calvin Bassey,Calvin Bassey,610,2,44
603616,Jacob Bruun Larsen,Jacob Bruun Larsen,608,3,48
619865,Ionut Radu,Ionuț Radu,607,1,43
616924,Igor Julio,Igor Julio dos Santos de Paulo,606,2,43
603609,Luca Koleosho,Luca Koleosho,605,3,48
603715,Ola Aina,Olu Aina,604,2,45
603918,Harvey Barnes,Harvey Barnes,603,3,62
603776,Issa Kabore,Issa Kaboré,602,2,40
603799,Arnaut Danjuma Groeneveld,Arnaut Danjuma Groeneveld,601,3,52
603617,Nathan Redmond,Nathan Redmond,600,3,47
603929,Moussa Diaby,Moussa Diaby,599,3,63
610064,Matt Doherty,Matt Doherty,598,2,43
604618,André Onana,André Onana,597,1,48
603603,James Trafford,James Trafford,596,1,45
603730,Milos Kerkez,Milos Kerkez,595,2,44
603613,Zeki Amdouni,Zeki Amdouni,594,4,53
603827,Yasser Larouci,Yasser Larouci,592,2,43
