team_id,team,gameweek,o_rating_season,d_rating_season,o_rating_psix,d_rating_psix
0,Arsenal,1,8201.629179,0.4884551662,8201.629179,0.4884551662
1,Aston Villa,1,6862.782311,1.011739188,6862.782311,1.011739188
2,Bournemouth,1,6315.175936,1.022400475,6315.175936,1.022400475
3,Brentford,1,6435.565169,0.9344858485,6435.565169,0.9344858485
4,Brighton,1,6044.288517,0.9571624557,6044.288517,0.9571624557
5,Chelsea,1,8440.002511,1.008207542,8440.002511,1.008207542
6,Crystal Palace,1,5440.604929,0.8722626192,5440.604929,0.8722626192
7,Everton,1,5930.515234,0.9436759627,5930.515234,0.9436759627
8,Fulham,1,5394.032483,1.024748487,5394.032483,1.024748487
9,Ipswich,1,4403.535601,1.268028955,4403.535601,1.268028955
10,Leicester,1,4431.230794,1.203552906,4431.230794,1.203552906
11,Liverpool,1,9305.097719,0.7640199646,9305.097719,0.7640199646
12,Manchester City,1,8673.701825,0.5927045422,8673.701825,0.5927045422
13,Manchester United,1,5909.095352,1.145714842,5909.095352,1.145714842
14,Newcastle United,1,8231.947299,0.9874736849,8231.947299,0.9874736849
15,Nottingham Forest,1,5260.088505,0.8920107987,5260.088505,0.8920107987
16,Southampton,1,4569.706756,1.23579093,4569.706756,1.23579093
17,Tottenham,1,7757.877308,1.062208078,7757.877308,1.062208078
18,West Ham,1,5485.460337,1.205729291,5485.460337,1.205729291
19,Wolverhampton Wanderers,1,5146.423943,1.165935467,5146.423943,1.165935467
