player_id,player,fpl_id,fpl_name,web_name,element_type,pos,now_cost,penalties_order,status,team_id
5543.0,Gabriel Jesus,2,Gabriel Fernando de Jesus,G.Jesus,4,(F),6.5,,i,0
5613.0,Gabriel,3,Gabriel dos Santos Magalhães,Gabriel,2,(D),6.4,,i,0
5220.0,Kai Havertz,4,Kai Havertz,Havertz,4,(F),7.7,3.0,i,0
11707.0,Jurriën Timber,6,Jurriën Timber,J.Timber,2,(D),5.6,,d,0
1389.0,Jorginho,7,Jorge Luiz Frello Filho,Jorginho,3,(M),4.7,,a,0
10012.0,Jakub Kiwior,8,Jakub Kiwior,Kiwior,2,(D),4.8,,a,0
7752.0,Gabriel Martinelli,9,Gabriel Martinelli Silva,Martinelli,3,(M),6.5,,a,0
11132.0,Ethan Nwaneri,12,Ethan Nwaneri,Nwaneri,3,(M),4.6,,a,0
2517.0,Martin Odegaard,13,Martin Ødegaard,Ødegaard,3,(M),8.2,2.0,a,0
9676.0,David Raya,15,David Raya Martin,Raya,1,(G),5.5,,a,0
5553.0,Declan Rice,16,Declan Rice,Rice,3,(M),6.2,,a,0
7322.0,Bukayo Saka,17,Bukayo Saka,Saka,3,(M),10.3,1.0,a,0
6888.0,William Saliba,18,William Saliba,Saliba,2,(D),6.3,,a,0
2328.0,Thomas Partey,20,Thomas Partey,Thomas,3,(M),4.9,,a,0
8089.0,Kieran Tierney,21,Kieran Tierney,Tierney,2,(D),4.3,,a,0
7931.0,Takehiro Tomiyasu,22,Tomiyasu Takehiro,Tomiyasu,2,(D),4.8,,i,0
7698.0,Leandro Trossard,23,Leandro Trossard,Trossard,3,(M),6.8,,a,0
7298.0,Ben White,24,Benjamin White,White,2,(D),6.1,,d,0
2958.0,Oleksandr Zinchenko,25,Oleksandr Zinchenko,Zinchenko,2,(D),4.8,,a,0
1297.0,Neto,73,Norberto Murara Neto,Neto,1,(G),4.1,,a,0
618.0,Raheem Sterling,186,Raheem Sterling,Sterling,3,(M),6.7,,a,0
8129.0,Riccardo Calafiori,578,Riccardo Calafiori,Calafiori,2,(D),5.8,,i,0
12272.0,Myles Lewis-Skelly,597,Myles Lewis-Skelly,Lewis-Skelly,3,(M),4.5,,a,0
5304.0,Mikel Merino,633,Mikel Merino,Merino,3,(M),6.0,,a,0
,,638,Salah-Eddine Oulad M'hand,Oulad M'hand,3,(M),4.5,,a,0
,,639,Tommy Setford,Setford,1,(G),4.5,,a,0
,,659,Ismeal Kabia,Kabia,3,(M),4.5,,a,0
,,662,Josh Nichols,Nichols,2,(D),4.0,,a,0
,,665,Nathan Butler-Oyedeji,Butler-Oyedeji,4,(F),4.5,,a,0
,,735,Mikel Arteta,Arteta,5,0,1.5,,a,0
,,756,Jack Porter,Porter,1,(G),4.0,,a,0
